time,temp,sky,ws,wd,wdEn,reh,appl
2023-02-25 18:00:00,3,1,2.1,7,NW,30,45
2023-02-25 21:00:00,-1,1,2.1,7,NW,45,60
2023-02-25 00:00:00,-3,1,1.8,7,NW,60,40
2023-02-26 03:00:00,-4,1,1.1,7,NW,75,30
2023-02-26 06:00:00,-5,1,1.8,7,NW,80,40
2023-02-26 09:00:00,-1,1,1.3,7,NW,65,60
2023-02-26 12:00:00,5,1,2.9,7,NW,35,10
2023-02-26 15:00:00,8,1,3.3,7,NW,30,20
2023-02-26 18:00:00,5,1,1.7,7,NW,40,45
2023-02-26 21:00:00,0,1,1.2,6,W,70,60
2023-02-26 00:00:00,-2,1,1.6,6,W,85,40
2023-02-27 03:00:00,-3,1,0.9,7,NW,90,30
2023-02-27 06:00:00,-3,1,0.1,6,W,95,40
2023-02-27 09:00:00,0,1,0.1,3,SE,85,60
2023-02-27 12:00:00,8,1,1.1,7,NW,45,10
2023-02-27 15:00:00,11,1,1.8,7,NW,30,20
2023-02-27 18:00:00,8,1,1.8,7,NW,40,45
2023-02-27 21:00:00,2,1,1.3,7,NW,65,60
2023-02-27 00:00:00,-1,1,0.5,4,S,80,40
2023-02-28 03:00:00,-2,1,2.1,5,SW,85,30
2023-02-28 06:00:00,-3,1,1.2,5,SW,90,40
2023-02-28 09:00:00,2,1,2.1,5,SW,75,60
2023-02-28 12:00:00,9,1,4.3,5,SW,55,10
2023-02-28 15:00:00,11,3,4.9,5,SW,50,20
2023-02-28 18:00:00,9,3,1.9,5,SW,60,45
2023-02-28 21:00:00,5,4,1.3,5,SW,85,60
2023-02-28 00:00:00,4,4,1.3,5,SW,90,40
