Sim,TempRead,TempControl,HumidRead,HumidControl
1,3.0,22.768895078922935,30.0,57.95769230769231
2,-1.0,22.768895078922935,45.0,56.58133869137133
3,-3.0,22.768895078922935,60.0,50.4418185746541
4,-4.0,22.768895078922935,75.0,49.560420061560755
5,-5.0,22.768895078922935,80.0,49.560420061560755
6,-1.0,22.768895078922935,65.0,49.60558795563554
7,5.0,22.768895078922935,35.0,57.95769230769231
8,8.0,22.768895078922935,30.0,57.95769230769231
9,5.0,22.768895078922935,40.0,57.95769230769231
10,0.0,22.768895078922935,70.0,49.560420061560755
11,-2.0,22.768895078922935,85.0,49.560420061560755
12,-3.0,22.768895078922935,90.0,49.560420061560755
13,-3.0,22.768895078922935,95.0,49.560420061560755
14,0.0,22.768895078922935,85.0,49.560420061560755
15,8.0,22.768895078922935,45.0,56.55896858032388
16,11.0,22.768895078922935,30.0,57.95769230769231
17,8.0,22.768895078922935,40.0,57.95769230769231
18,2.0,22.768895078922935,65.0,49.560420061560755
19,-1.0,22.768895078922935,80.0,49.560420061560755
20,-2.0,22.768895078922935,85.0,49.560420061560755
21,-3.0,22.768895078922935,90.0,49.560420061560755
22,2.0,22.768895078922935,75.0,49.560420061560755
23,9.0,22.768895078922935,55.0,51.636250912831315
24,11.0,22.768895078922935,50.0,53.97979088102932
25,9.0,22.768895078922935,60.0,50.44823882263114
26,5.0,22.768895078922935,85.0,49.560420061560755
27,4.0,22.768895078922935,90.0,49.560420061560755
