Sim,TempRead,TempControl,HumidRead,HumidControl
1,3.0,22.768895078922935,30.0,57.95769230769231
2,-1.0,22.768895078922935,45.0,56.660808592601036
3,-3.0,22.768895078922935,60.0,50.503545261265465
4,-4.0,22.768895078922935,75.0,49.560420061560755
5,-5.0,22.768895078922935,80.0,49.560420061560755
6,-1.0,22.768895078922935,65.0,49.560420061560755
7,5.0,22.768895078922935,35.0,57.95769230769231
8,8.0,22.768895078922935,30.0,57.95769230769231
9,5.0,22.768895078922935,40.0,57.85602468186191
10,0.0,22.768895078922935,70.0,49.560420061560755
11,-2.0,22.768895078922935,85.0,49.560420061560755
12,-3.0,22.768895078922935,90.0,49.560420061560755
13,-3.0,22.768895078922935,95.0,49.560420061560755
14,0.0,22.768895078922935,85.0,49.560420061560755
15,8.0,22.768895078922935,45.0,56.62049932422859
16,11.0,22.768895078922935,30.0,57.95769230769231
17,8.0,22.768895078922935,40.0,57.89767323913785
18,2.0,22.768895078922935,65.0,49.6327847877067
19,-1.0,22.768895078922935,80.0,49.560420061560755
20,-2.0,22.768895078922935,85.0,49.560420061560755
21,-3.0,22.768895078922935,90.0,49.560420061560755
22,2.0,22.768895078922935,75.0,49.560420061560755
23,9.0,22.768895078922935,55.0,51.514146337043194
24,11.0,22.768895078922935,50.0,54.027280656192254
25,9.0,22.768895078922935,60.0,50.43816868039078
26,5.0,22.768895078922935,85.0,49.560420061560755
27,4.0,22.768895078922935,90.0,49.560420061560755
