Sim,TempRead,TempControl,HumidRead,HumidControl
1,3.0,22.768895078922935,95.0,49.560420061560755
2,4.0,22.768895078922935,100.0,49.560420061560755
3,5.0,22.768895078922935,100.0,49.560420061560755
4,7.0,22.768895078922935,85.0,49.560420061560755
5,8.0,22.768895078922935,45.0,56.569130584921915
6,6.0,22.768895078922935,45.0,56.60205733036203
7,3.0,22.768895078922935,55.0,51.52503057910573
8,1.0,22.768895078922935,60.0,50.467586625704534
9,-1.0,22.768895078922935,60.0,50.454166788718155
10,-3.0,22.768895078922935,55.0,51.60302599064806
11,0.0,22.768895078922935,45.0,56.63463892725735
12,4.0,22.768895078922935,30.0,57.95769230769231
13,5.0,22.768895078922935,30.0,57.95769230769231
14,3.0,22.768895078922935,35.0,57.95769230769231
15,0.0,22.768895078922935,55.0,51.63834644073256
16,-2.0,22.768895078922935,75.0,49.560420061560755
17,-1.0,22.768895078922935,60.0,50.48468444854277
18,-3.0,22.768895078922935,55.0,51.576292570140744
19,0.0,22.768895078922935,45.0,56.63907497542301
20,4.0,22.768895078922935,30.0,57.95769230769231
21,18.0,22.768895078922935,40.0,57.95769230769231
22,15.0,22.768895078922935,55.0,51.59209193603008
23,12.0,22.768895078922935,70.0,49.560420061560755
24,10.0,22.768895078922935,80.0,49.560420061560755
25,10.0,22.768895078922935,90.0,49.560420061560755
26,10.0,22.768895078922935,95.0,49.560420061560755
27,10.0,22.768895078922935,95.0,49.560420061560755
28,13.0,22.768895078922935,70.0,49.560420061560755
29,17.0,22.768895078922935,55.0,51.535432374823124
30,14.0,22.768895078922935,65.0,49.560420061560755
31,8.0,22.768895078922935,85.0,49.560420061560755
32,6.0,22.768895078922935,95.0,49.560420061560755
33,5.0,22.768895078922935,95.0,49.560420061560755
34,4.0,22.768895078922935,100.0,49.560420061560755
35,7.0,22.768895078922935,95.0,49.560420061560755
36,17.0,22.768895078922935,45.0,56.6468933877075
37,22.0,20.74353888601048,35.0,57.95769230769231
38,18.0,22.768895078922935,45.0,56.67105251024239
39,12.0,22.768895078922935,60.0,50.451556790118104
40,10.0,22.768895078922935,75.0,49.560420061560755
41,8.0,22.768895078922935,80.0,49.560420061560755
42,7.0,22.768895078922935,85.0,49.560420061560755
43,13.0,22.768895078922935,70.0,49.560420061560755
44,21.0,22.768895078922935,40.0,57.95769230769231
45,23.0,21.292204668640274,30.0,57.95769230769231
46,18.0,22.768895078922935,40.0,57.95769230769231
47,12.0,22.768895078922935,65.0,49.560420061560755
48,9.0,22.768895078922935,75.0,49.560420061560755
49,9.0,22.768895078922935,80.0,49.560420061560755
50,9.0,22.768895078922935,90.0,49.560420061560755
51,11.0,22.768895078922935,90.0,49.560420061560755
52,9.0,22.768895078922935,85.0,49.560420061560755
53,6.0,22.768895078922935,90.0,49.560420061560755
54,5.0,22.768895078922935,80.0,49.560420061560755
55,2.0,22.768895078922935,80.0,49.560420061560755
56,0.0,22.768895078922935,70.0,49.560420061560755
57,-1.0,22.768895078922935,50.0,53.897339097906574
58,-2.0,22.768895078922935,50.0,53.88623099317333
59,1.0,22.768895078922935,40.0,57.95769230769231
60,4.0,22.768895078922935,30.0,57.95769230769231
61,6.0,22.768895078922935,30.0,57.95769230769231
62,4.0,22.768895078922935,35.0,57.95769230769231
63,1.0,22.768895078922935,60.0,50.48093013263767
64,0.0,22.768895078922935,65.0,49.6442153582634
65,-1.0,22.768895078922935,70.0,49.560420061560755
66,-1.0,22.768895078922935,70.0,49.560420061560755
67,5.0,22.768895078922935,50.0,53.73707556217379
68,13.0,22.768895078922935,30.0,57.95769230769231
69,15.0,22.768895078922935,25.0,57.95769230769231
70,13.0,22.768895078922935,40.0,57.95769230769231
71,8.0,22.768895078922935,65.0,49.560420061560755
72,6.0,22.768895078922935,70.0,49.560420061560755
73,6.0,22.768895078922935,90.0,49.560420061560755
74,7.0,22.768895078922935,90.0,49.560420061560755
75,11.0,22.768895078922935,75.0,49.560420061560755
76,15.0,22.768895078922935,55.0,51.60122611680724
77,14.0,22.768895078922935,65.0,49.560420061560755
78,10.0,22.768895078922935,60.0,50.515770847826694
79,6.0,22.768895078922935,55.0,51.52394933183679
80,3.0,22.768895078922935,50.0,53.8325626965577
81,1.0,22.768895078922935,55.0,51.562467239119684
82,-1.0,22.768895078922935,65.0,49.57015987030745
83,4.0,22.768895078922935,45.0,56.67735800494575
84,10.0,22.768895078922935,20.0,57.95769230769231
85,11.0,22.768895078922935,20.0,57.95769230769231
86,8.0,22.768895078922935,25.0,57.95769230769231
87,4.0,22.768895078922935,45.0,56.66288545553702
88,2.0,22.768895078922935,55.0,51.60825381983513
89,1.0,22.768895078922935,55.0,51.540377899058555
90,0.0,22.768895078922935,60.0,50.516633742731116
91,4.0,22.768895078922935,50.0,53.70044521256603
92,10.0,22.768895078922935,25.0,57.95769230769231
93,14.0,22.768895078922935,20.0,57.95769230769231
94,12.0,22.768895078922935,30.0,57.95769230769231
95,7.0,22.768895078922935,50.0,53.878104671643484
96,4.0,22.768895078922935,55.0,51.56771097459462
